DOI,Country,Facility,Journal,Impact Factor,Published Date,Cited Times,Number of days until 01/20/2023,Average cited times per day,Metal_Dopant_1,Metal_Dopant_2,Metal_Dopant_3,Metal_Dopant_4,Sample Name,Metal_Dopant_1 Proportion in Precursor ,Metal_Dopant_2 Proportion in Precursor ,Metal_Dopant_3 Proportion in Precursor ,Metal_Dopant_4 Proportion in Precursor ,Hydrothermal Temperature (Celcius degree),Hydrothermal Time (min),Hydrothermal Still/Strring (0/1),Hydrothermal Strong Reductant in Liquid (0/1),Hydrothermal Weak Reductant in Liquid (0/1),Mixed in Solid or Liquid (0/1),Annealing Temperature (Celcius Degree),Annealing Temerature Rising Rate (Celcius Degree min-1),Annealing Time (min),Annealing Still/Strring (0/1),Annealing Atomosphere Inert (0/1),Annealing Atomosphere Reductive (0/1),Post-processing Acid Wash etc. (0/1),Catalyst Loading (mg cm -2),Support Material Loading (mg cm -2),Support is not Carbon (0/1),Electrode Type_Glassy Carbon/Carbon Paper or Ti Mesh (0/1),Electrolyte Proton Concentration (M),Stability Current Density (mA cm-2),Stability Test Time (h),Log (Decay Rate) (mV/h)
10.1002/anie.201900796,Peoples R China,Jilin Univ,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,16.823,7/24/2019,121,1276,0.094827586,Sr,Ir,Ti,None,Ir-STO,79.51807229,6.827309237,0.136546185,0,180,720,0,0,0,0,600,1.7,360,0,0,0,0,0.21,0,0,0,0.1,30,10,0.907411361
10.1039/D1TA10022J,Peoples R China,Univ Sci & Technol China,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/29/2022,0,356,0,Ru,None,None,None,RuO2-350,100,0,0,0,160,720,0,0,0,0,350,5,240,0,0,0,0,0.275,0,0,0,1,10,20,1.204119983
10.1039/D1TA10022J,Peoples R China,Univ Sci & Technol China,JOURNAL OF MATERIALS CHEMISTRY A,14.511,1/29/2022,0,356,0,Ru,In,None,None,In0.17Ru0.83O2-350,75.00418196,24.99581804,0,0,160,720,0,0,0,0,350,5,240,0,0,0,0,0.275,0,0,0,1,10,20,0.431363764
10.1039/C8TA04886J,South Korea,Inst for Basic Sci Korea,JOURNAL OF MATERIALS CHEMISTRY A,14.511,12/28/2018,47,1484,0.031671159,S,Cu,Ru,Ir,CIS@Ir52Ru48,33.33333333,33.33333333,0.166666667,0.166666667,240,60,1,0,1,0,25,0,0,0,0,0,0,0.012,0.06,1,0,0.1,100,100,-0.356547324
10.1002/adma.201801351,Peoples R China,Chinese Acad Sci,ADVANCED MATERIALS,32.086,12/28/2018,231,1484,0.155660377,Ru,None,None,None,S-300,100,0,0,0,25,1440,0,0,0,0,300,10,240,0,0,0,0,0.275,0,0,0,1,10,8,1.016197354
10.1021/acsami.0c08358,Peoples R China,Hainan Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,7/22/2020,11,912,0.012061404,Fe,Ir,None,None,Ir@Fe-MF-2,58.43230404,41.56769596,0,0,150,720,0,0,0,0,400,,360,0,0,0,0,0.1716,0.0284,0,1,0.1,10,11.111,0.403120521
10.1021/acsami.0c08358,Peoples R China,Hainan Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,7/22/2020,11,912,0.012061404,Fe,Ir,None,None,Ir@Fe-MF-2,58.43230404,41.56769596,0,0,150,720,0,0,0,0,400,,360,0,0,0,0,0.1716,0.0284,0,1,0.1,30,5.556,0.989894564
10.1021/acsami.0c08358,Peoples R China,Hainan Univ,ACS APPLIED MATERIALS & INTERFACES,10.383,7/22/2020,11,912,0.012061404,Ir,None,None,None,IrO2,100,0,0,0,150,720,0,0,0,0,600,,360,0,0,0,0,0.2,0,0,1,0.1,10,11.111,0.711807229
10.1021/acscatal.0c04117,Portugal,Int Iberian Nanotechnol Lab INL,ACS CATALYSIS,13.7,4/3/2021,33,657,0.050228311,Ir,Ru,Co,None,RuIr@CoNC,43.66294726,42.45777869,0.13879274,0,180,30,1,0,0,0,550,,30,0,1,0,0,0.05,0.094927,0,0,1,10,40,0.45484486
10.1021/acscatal.0c04117,Portugal,Int Iberian Nanotechnol Lab INL,ACS CATALYSIS,13.7,4/3/2021,33,657,0.050228311,Ir,Ru,Co,None,RuIr@CoNC,43.66294726,42.45777869,0.13879274,0,180,30,1,0,0,0,550,,30,0,1,0,0,0.05,0.094927,0,0,0.1,10,45,0.324282455
