temperature_K,salt_conc,salt,PC,DEC,EC,EMC,EA,DME,Sulfolane,TFP,DMC,2-MeTHF,conductivity_S_cm
283.15,0.49137931,LiPF6,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.703703704
223.85,0.55,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.567
322.35,0.24,LiBOB,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.426666667
292.65,0.107407407,LiBOB,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.632653061
233.75,0.403599828,LiBOB,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122951055
194.15,1.7117,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.23e-05
243.65,1.048543689,LiBF4,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.458619465
253.15,0.757366771,LiPF6,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.807017544
332.15,1.201456311,LiBF4,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.761129529
302.55,0.349514563,LiBF4,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.313521193
332.15,0.586792666,LiBF4,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.536124943
293.15,0.75,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.85
233.75,1.093149883,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257142857
323.15,0.645366272,LiPF6,0.24,0.0,0.24,0.32,0.0,0.0,0.0,0.2,0.0,0.0,10.4893617
302.55,0.250793651,LiBOB,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.294217687
292.65,0.801536424,LiBOB,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.981721854
233.75,1.499286879,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.252706951
253.15,1.0,LiAsF6,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.43
322.35,0.638,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.99605634
282.85,0.103333333,LiBOB,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.583636364
253.35,0.320454545,LiPF6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.88515625
233.75,1.261957908,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.434183673
243.65,0.116474497,LiBOB,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.76744186
233.75,0.159375,LiBOB,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338983051
293.15,1.976470588,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.538461538
302.55,0.03597351,LiBOB,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.941986755
263.15,0.440210504,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193427129
213.95,0.8979,LiPF6,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2022
293.15,1.0,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,6.82
272.95,0.278688525,LiBOB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.413934426
312.45,0.721759456,LiBOB,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,11.36464088
293.15,2.0,LiPF6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,12.77777778
302.55,0.187913146,LiBOB,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,3.853246337
263.15,0.38125,LiBOB,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.593220339
332.15,1.118918919,LiBOB,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.441176471
243.15,1.5,LiAsF6,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.46
332.15,0.330685275,LiBOB,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32627866
332.15,1.0464,LiPF6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.85
273.15,1.211010091,LiPF6,0.3,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.92636627
322.35,0.743526786,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05994898
263.15,2.04586166,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65976044
312.45,0.726175527,LiBF4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.305009069
292.65,0.433333333,LiBOB,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.152727273
273.15,0.080230536,LiBPFPB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45721007
263.15,0.401532941,LiBOB,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.166728865
333.15,0.444859813,LiPF6,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10.5447619
312.45,0.365982978,LiBF4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988140087
302.55,2.158226968,LiPF6,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.544012799
292.65,1.219086651,LiBF4,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.528571429
273.15,1.0,LiAsF6,0.175,0.0,0.175,0.0,0.0,0.0,0.0,0.0,0.0,0.15,5.03
253.35,0.962689879,LiBF4,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.814814815
333.15,0.75,LiAsF6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,7.66
233.75,2.173228346,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082191781
283.15,1.201388889,LiPF6,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.919091711
322.35,1.368421053,LiBF4,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.003170577
253.35,1.476,LiPF6,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479492958
272.95,0.299212598,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.890410959
273.0531347,1.0,LiFSI,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,5.943977157
282.85,0.485714286,LiBOB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.240601504
253.35,0.126777816,LiBOB,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,1.736304866
253.35,0.439655172,LiBF4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.023529412
204.15,0.9088,LiPF6,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01097
243.65,0.4648,LiPF6,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486
243.65,0.105660377,LiBOB,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.549865229
313.4733756,1.2,LiBOB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.15629333
292.65,2.159252948,LiPF6,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.600111293
322.35,1.393700787,LiBF4,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479452055
282.85,0.533602996,LiBOB,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.291887125
253.35,0.633333333,LiBOB,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99122807
253.15,1.073713658,LiPF6,0.3,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,1.866120492
303.3508437,0.4, LiBPFPB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.34885641
302.55,1.044047492,LiBOB,0.8,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.860091988
263.15,0.6524,LiPF6,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.325
253.35,0.398095238,LiBOB,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,2.436363636
233.75,0.534419024,LiBF4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4342764
243.65,0.449829751,LiPF6,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.496062992
233.75,0.425396825,LiBOB,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182539683
