ASA [m^2/cm^3],NASA [m^2/cm^3],CellV [A^3],Df,Di,Dif,POAV [cm^3/g],POAVF,PONAV [cm^3/g],PONAVF,density [g/cm^3],total_SA_volumetric,total_SA_gravimetric,total_POV_volumetric,total_POV_gravimetric,CO2_uptake_16bar_mol_kg
1109.16,0.0,8518.44,5.08524,7.14066,7.12439,0.244078,0.32288,0.0,0.0,1.32285,1109.16,838.4624107,0.32288,0.244078,5.172399093
0.0,637.378,3104.03,3.65873,6.37551,6.3709,0.0,0.0,0.230594,0.25928,1.1244,637.378,566.8605478,0.25928,0.230594,8.070639609
978.806,0.0,8836.41,3.92519,8.78791,8.78768,0.278367,0.33784,0.0,0.0,1.21365,978.806,806.4977547,0.33784,0.278367,5.894655302
0.0,205.706,1126.13,2.92726,4.50403,4.50403,0.0,0.0,0.105174,0.21546,2.04861,205.706,100.4124748,0.21546,0.105174,2.497809463
1051.49,0.0,2452.47,4.39397,5.38898,5.38845,0.206229,0.38424,0.0,0.0,1.86317,1051.49,564.3553728,0.38424,0.206229,4.144145726
1165.89,0.0,5207.82,4.78062,6.04182,6.04182,0.310867,0.33838,0.0,0.0,1.0885,1165.89,1071.097841,0.33838,0.310867,6.419960609
908.55,0.0,1511.38,4.137,4.67022,4.66388,0.199383,0.2708,0.0,0.0,1.35819,908.55,668.9417534,0.2708,0.199383,6.000655165
3044.0,0.0,2922.25,4.56275,5.53493,5.50447,0.74619,0.69588,0.0,0.0,0.932577,3044.0,3264.073637,0.69588,0.74619,7.235444695
846.918,0.0,2455.35,3.97207,6.08793,6.06402,0.270264,0.3087,0.0,0.0,1.14221,846.918,741.4731091,0.3087,0.270264,6.049151351
995.31,0.0,7467.43,4.66248,6.42799,6.42799,0.260873,0.31456,0.0,0.0,1.2058,995.31,825.4353956,0.31456,0.260873,6.087748336
1428.22,0.0,2062.85,4.91896,5.67537,5.66915,0.309835,0.4086,0.0,0.0,1.31877,1428.22,1082.994002,0.4086,0.309835,6.715641451
0.0,292.264,3074.24,2.6955,5.10322,5.10263,0.0,0.0,0.118201,0.1532,1.2961,292.264,225.4949464,0.1532,0.118201,3.843137329
725.141,0.0,2065.08,3.99321,4.95363,4.95363,0.271894,0.3067,0.0,0.0,1.12801,725.141,642.8497974,0.3067,0.271894,6.42674175
1542.05,0.0,2609.79,3.92423,5.53585,5.53006,0.376455,0.46646,0.0,0.0,1.23909,1542.05,1244.502014,0.46646,0.376455,7.12836965
1065.55,0.0,4320.35,3.85621,5.54342,5.5369,0.259253,0.32976,0.0,0.0,1.27196,1065.55,837.7228844,0.32976,0.259253,6.903217581
