Mo,Nb,Ta,W,sigma_T,x,y,reduced modulus,E_ROM,C11_ROM,C12_ROM,C44_ROM,shear_modulus_from_ROM,bulk_modulus_from_ROM,V_ROM,dV_ROM,a_ROM,b_ROM,hardness
11.7,52.8,18.0,17.6,0.788825585811137,22.5,-27.0,117.51,199.54945054945,319.325574425574,148.48951048951,70.7422577422577,77.7345768195783,616.304595404595,17.6571169450988,1.0466112438698,3.279563006993,2.84018487736762,5.95
11.0,54.6,16.7,17.6,0.768175431016644,27.0,-27.0,121.34,197.115115115115,317.656656656656,147.945945945945,69.5445445445445,76.8194444158096,613.548548548548,17.6723535987211,1.02823482283542,3.28052938938938,2.84102178907266,5.92
10.6,56.8,15.8,16.9,0.731005578362469,31.5,-27.0,122.47,193.167832167832,314.455744255744,146.977022977022,67.7132867132867,75.3011775217383,608.40979020979,17.6977887440119,1.00239565586255,3.2821352027972,2.84241246427756,5.75
20.2,25.5,42.0,12.3,0.981001671624652,-40.5,-22.5,123.29,221.906,328.2734,153.818,83.821,85.507385889758,635.9094,17.5703469100985,1.18664339771301,3.274004318,2.83537091148794,5.64
20.2,27.4,40.1,12.3,0.973809775134962,-36.0,-22.5,126.89,220.367,327.8934,153.286,82.776,85.009711628731,634.4654,17.5697910435506,1.1858092177797,3.273970726,2.83534181996258,5.94
20.0,28.3,38.0,13.6,0.996990279042503,-31.5,-22.5,121.83,222.313313313313,330.782782782782,153.675675675675,83.2432432432432,85.8573526176531,638.134134134134,17.5457584710567,1.1980734384988,3.27246096496496,2.83403432855259,5.33
19.1,31.6,35.4,14.0,0.967228961416425,-27.0,-22.5,123.63,219.183816183816,329.197502497502,152.917082917082,81.5074925074925,84.7589965082429,635.031668331668,17.5597738537927,1.18107405458868,3.27335391608391,2.83480764690594,5.41
19.3,31.7,33.9,15.0,0.997931946635503,-22.5,-22.5,128.48,221.707707707707,332.346446446446,153.395395395395,82.2822822822822,85.8035573193025,639.137237237237,17.5318433109763,1.19850412276218,3.27159444044044,2.83328389630135,5.74
18.3,34.7,32.1,14.9,0.958106229236165,-18.0,-22.5,122.1,217.587,329.3751,152.465999999999,80.2949999999999,84.2760825635007,634.3071,17.5583465251463,1.17426072753592,3.273273668,2.83473815002667,5.35
17.8,36.6,30.0,15.5,0.954427117657882,-13.5,-22.5,125.91,216.713713713713,329.618218218218,152.212212212212,79.5845845845845,84.0201859400415,634.042642642642,17.5563674347537,1.17069468121022,3.27315504904904,2.83463542300177,5.63
